seed,layer,hundreds,tens,ones
42,0,0.18,0.12,0.09
42,1,0.18,0.12,0.04
42,2,0.24,0.09,0.08
42,3,0.2,0.12,0.04
42,4,0.23,0.09,0.2
42,5,0.24,0.14,0.1
42,6,0.21,0.13,0.11
42,7,0.26,0.11,0.04
42,8,0.21,0.11,0.09
42,9,0.23,0.13,0.09
42,10,0.33,0.11,0.15
42,11,0.24,0.1,0.13
42,12,0.34,0.12,0.13
42,13,0.27,0.17,0.12
42,14,0.25,0.09,0.12
42,15,0.27,0.1,0.07
42,16,0.28,0.12,0.14
42,17,0.24,0.09,0.2
42,18,0.28,0.09,0.21
42,19,0.3,0.12,0.27
42,20,0.34,0.11,0.19
42,21,0.18,0.11,0.23
42,22,0.34,0.14,0.15
42,23,0.52,0.17,0.17
42,24,0.9,0.41,0.23
42,25,0.93,0.62,0.17
42,26,0.99,0.57,0.16
42,27,0.98,0.51,0.14
42,28,0.99,0.47,0.16
43,0,0.24,0.14,0.07
43,1,0.29,0.08,0.06
43,2,0.24,0.14,0.08
43,3,0.29,0.15,0.06
43,4,0.29,0.05,0.1
43,5,0.29,0.07,0.14
43,6,0.3,0.09,0.08
43,7,0.31,0.12,0.06
43,8,0.3,0.07,0.07
43,9,0.25,0.09,0.15
43,10,0.28,0.13,0.16
43,11,0.26,0.07,0.11
43,12,0.35,0.14,0.14
43,13,0.36,0.13,0.1
43,14,0.26,0.11,0.07
43,15,0.34,0.11,0.09
43,16,0.28,0.12,0.15
43,17,0.36,0.09,0.29
43,18,0.26,0.14,0.08
43,19,0.18,0.18,0.33
43,20,0.33,0.14,0.33
43,21,0.18,0.1,0.34
43,22,0.35,0.16,0.27
43,23,0.54,0.09,0.3
43,24,0.91,0.49,0.17
43,25,0.95,0.47,0.11
43,26,1.0,0.56,0.11
43,27,0.99,0.54,0.2
43,28,1.0,0.54,0.17
44,0,0.21,0.16,0.08
44,1,0.21,0.08,0.07
44,2,0.21,0.11,0.12
44,3,0.23,0.16,0.12
44,4,0.3,0.08,0.12
44,5,0.31,0.14,0.06
44,6,0.28,0.09,0.13
44,7,0.15,0.15,0.13
44,8,0.24,0.06,0.09
44,9,0.27,0.14,0.1
44,10,0.13,0.09,0.22
44,11,0.38,0.12,0.18
44,12,0.18,0.1,0.1
44,13,0.32,0.1,0.15
44,14,0.34,0.12,0.16
44,15,0.26,0.1,0.09
44,16,0.17,0.17,0.16
44,17,0.33,0.16,0.23
44,18,0.32,0.09,0.23
44,19,0.23,0.09,0.3
44,20,0.33,0.12,0.28
44,21,0.31,0.11,0.3
44,22,0.36,0.16,0.23
44,23,0.51,0.09,0.27
44,24,0.91,0.45,0.16
44,25,0.94,0.43,0.16
44,26,0.98,0.56,0.13
44,27,0.99,0.56,0.17
44,28,0.99,0.56,0.12
45,0,0.21,0.07,0.11
45,1,0.21,0.13,0.11
45,2,0.22,0.12,0.07
45,3,0.22,0.12,0.11
45,4,0.22,0.13,0.13
45,5,0.31,0.07,0.18
45,6,0.13,0.14,0.07
45,7,0.27,0.08,0.16
45,8,0.23,0.07,0.12
45,9,0.24,0.12,0.07
45,10,0.26,0.11,0.14
45,11,0.23,0.12,0.15
45,12,0.35,0.11,0.19
45,13,0.29,0.1,0.15
45,14,0.33,0.07,0.13
45,15,0.28,0.15,0.12
45,16,0.28,0.12,0.17
45,17,0.24,0.07,0.16
45,18,0.3,0.08,0.2
45,19,0.31,0.12,0.32
45,20,0.33,0.1,0.31
45,21,0.31,0.09,0.23
45,22,0.35,0.12,0.2
45,23,0.51,0.16,0.28
45,24,0.91,0.47,0.24
45,25,0.96,0.51,0.21
45,26,0.97,0.5,0.18
45,27,0.99,0.47,0.15
45,28,0.98,0.41,0.16
46,0,0.28,0.14,0.07
46,1,0.18,0.16,0.07
46,2,0.23,0.03,0.11
46,3,0.24,0.08,0.07
46,4,0.29,0.1,0.09
46,5,0.33,0.04,0.08
46,6,0.25,0.06,0.08
46,7,0.3,0.12,0.13
46,8,0.29,0.08,0.08
46,9,0.29,0.13,0.11
46,10,0.32,0.09,0.21
46,11,0.31,0.13,0.11
46,12,0.36,0.15,0.16
46,13,0.3,0.16,0.14
46,14,0.33,0.06,0.1
46,15,0.33,0.11,0.11
46,16,0.31,0.03,0.08
46,17,0.29,0.05,0.23
46,18,0.25,0.13,0.18
46,19,0.27,0.13,0.32
46,20,0.32,0.06,0.29
46,21,0.2,0.09,0.17
46,22,0.32,0.19,0.26
46,23,0.62,0.13,0.23
46,24,0.89,0.41,0.23
46,25,0.96,0.56,0.2
46,26,0.98,0.51,0.13
46,27,0.97,0.54,0.12
46,28,0.97,0.48,0.15
